sleeper_id,date,value
10214,2023-11-09,0
10214,2023-11-10,0
10214,2023-11-11,0
10214,2023-11-12,0
10214,2023-11-13,0
10214,2023-11-14,0
10214,2023-11-15,0
10214,2023-11-16,0
10214,2023-11-17,0
10214,2023-11-18,0
10214,2023-11-19,0
10214,2023-11-20,0
10214,2023-11-21,0
10214,2023-11-22,0
10214,2023-11-23,0
10214,2023-11-24,0
10214,2023-11-25,0
10214,2023-11-26,0
10214,2023-11-27,0
10214,2023-11-28,0
10214,2023-11-29,0
10214,2023-11-30,0
10214,2023-12-01,0
10214,2023-12-02,0
10214,2023-12-03,0
10214,2023-12-04,0
10214,2023-12-05,0
10214,2023-12-06,0
10214,2023-12-07,0
10214,2023-12-08,0
10214,2023-12-09,0
10214,2023-12-10,0
10214,2023-12-11,0
10214,2023-12-12,0
10214,2023-12-13,0
10214,2023-12-14,0
10214,2023-12-15,0
10214,2023-12-16,0
10214,2023-12-17,0
10214,2023-12-18,0
10214,2023-12-19,0
10214,2023-12-20,0
10214,2023-12-21,0
10214,2023-12-22,0
10214,2023-12-23,0
10214,2023-12-24,0
10214,2023-12-25,0
10214,2023-12-26,0
10214,2023-12-27,0
10214,2023-12-28,0
10214,2023-12-29,0
10214,2023-12-30,0
10214,2023-12-31,0
10214,2024-01-01,0
10214,2024-01-02,0
10214,2024-01-03,0
10214,2024-01-04,0
10214,2024-01-05,0
10214,2024-01-06,0
10214,2024-01-07,0
10214,2024-01-08,0
10214,2024-01-09,0
10214,2024-01-10,0
10214,2024-01-11,0
10214,2024-01-12,0
10214,2024-01-13,0
10214,2024-01-14,0
10214,2024-01-15,0
10214,2024-01-16,0
10214,2024-01-17,0
10214,2024-01-18,139
10214,2024-01-19,160
10214,2024-01-20,176
10214,2024-01-21,197
10214,2024-01-22,232
10214,2024-01-23,252
10214,2024-01-24,257
10214,2024-01-25,262
10214,2024-01-26,263
10214,2024-01-27,268
10214,2024-01-28,269
10214,2024-01-29,285
10214,2024-01-30,301
10214,2024-01-31,307
10214,2024-02-01,339
10214,2024-02-02,349
10214,2024-02-03,355
10214,2024-02-04,360
10214,2024-02-05,375
10214,2024-02-06,383
10214,2024-02-07,393
10214,2024-02-08,403
10214,2024-02-09,420
10214,2024-02-10,431
10214,2024-02-11,441
10214,2024-02-12,441
10214,2024-02-13,462
10214,2024-02-14,478
10214,2024-02-15,489
10214,2024-02-16,492
10214,2024-02-17,502
10214,2024-02-18,523
10214,2024-02-19,524
10214,2024-02-20,524
10214,2024-02-21,540
10214,2024-02-22,560
10214,2024-02-23,561
10214,2024-02-24,563
10214,2024-02-25,558
10214,2024-02-26,568
10214,2024-02-27,580
10214,2024-02-28,582
10214,2024-02-29,589
10214,2024-03-01,594
10214,2024-03-02,614
10214,2024-03-03,619
10214,2024-03-04,634
10214,2024-03-05,629
10214,2024-03-06,635
10214,2024-03-07,636
10214,2024-03-08,674
10214,2024-03-09,703
10214,2024-03-10,731
10214,2024-03-11,728
10214,2024-03-12,714
10214,2024-03-13,728
10214,2024-03-14,717
10214,2024-03-15,699
10214,2024-03-16,758
10214,2024-03-17,770
10214,2024-03-18,777
10214,2024-03-19,818
10214,2024-03-20,748
10214,2024-03-21,800
10214,2024-03-22,821
10214,2024-03-23,843
10214,2024-03-24,877
10214,2024-03-25,871
10214,2024-03-26,849
10214,2024-03-27,850
10214,2024-03-28,867
10214,2024-03-29,876
10214,2024-03-30,901
10214,2024-03-31,911
10214,2024-04-01,938
10214,2024-04-02,950
10214,2024-04-03,961
10214,2024-04-04,981
10214,2024-04-05,1037
10214,2024-04-06,1079
10214,2024-04-07,1076
10214,2024-04-08,1105
10214,2024-04-09,1126
10214,2024-04-10,1100
10214,2024-04-11,1122
10214,2024-04-12,1171
10214,2024-04-13,1193
10214,2024-04-14,1207
10214,2024-04-15,1203
10214,2024-04-16,1139
10214,2024-04-17,1188
10214,2024-04-18,1182
10214,2024-04-19,1174
10214,2024-04-20,1103
10214,2024-04-21,1079
10214,2024-04-22,1096
